name,price
Bulbasaur,63.0
Ivysaur,87.0
Venusaur,105.0
Charmander,48.0
Charmeleon,165.0
Charizard,156.0
Squirtle,130.0
Wartortle,123.0
Blastoise,76.0
Caterpie,73.0
Metapod,148.0
Butterfree,162.0
Weedle,25.0
Kakuna,148.0
Beedrill,168.0
Pidgey,159.0
Pidgeotto,84.0
Pidgeot,185.0
Rattata,128.0
Raticate,60.0
Spearow,133.0
Fearow,95.0
Ekans,55.0
Arbok,182.0
Pikachu,37.0
Raichu,140.0
Sandshrew,82.0
Sandslash,155.0
Nidorina,28.0
Nidoqueen,106.0
Nidorino,179.0
Nidoking,31.0
Clefairy,160.0
Clefable,188.0
Vulpix,85.0
Ninetales,52.0
Jigglypuff,61.0
Wigglytuff,130.0
Zubat,125.0
Golbat,136.0
Oddish,45.0
Gloom,178.0
Vileplume,170.0
Paras,168.0
Parasect,27.0
Venonat,158.0
Venomoth,53.0
Diglett,122.0
Dugtrio,111.0
Meowth,131.0
Persian,200.0
Psyduck,182.0
Golduck,31.0
Mankey,125.0
Primeape,86.0
Growlithe,30.0
Arcanine,69.0
Poliwag,174.0
Poliwhirl,121.0
Poliwrath,152.0
Abra,141.0
Kadabra,129.0
Alakazam,40.0
Machop,166.0
Machoke,27.0
Machamp,121.0
Bellsprout,74.0
Weepinbell,26.0
Victreebel,68.0
Tentacool,186.0
Tentacruel,65.0
Geodude,32.0
Graveler,182.0
Golem,103.0
Ponyta,53.0
Rapidash,98.0
Slowpoke,109.0
Slowbro,179.0
Magnemite,100.0
Magneton,191.0
Farfetchd,185.0
Doduo,73.0
Dodrio,138.0
Seel,164.0
Dewgong,70.0
Grimer,147.0
Muk,187.0
Shellder,138.0
Cloyster,199.0
Gastly,179.0
Haunter,42.0
Gengar,149.0
Onix,37.0
Drowzee,40.0
Hypno,198.0
Krabby,64.0
Kingler,72.0
Voltorb,189.0
Electrode,100.0
Exeggcute,126.0
Exeggutor,68.0
Cubone,177.0
Marowak,36.0
Hitmonlee,73.0
Hitmonchan,91.0
Lickitung,142.0
Koffing,38.0
Weezing,48.0
Rhyhorn,124.0
Rhydon,27.0
Chansey,176.0
Tangela,64.0
Kangaskhan,164.0
Horsea,154.0
Seadra,51.0
Goldeen,170.0
Seaking,129.0
Staryu,166.0
Starmie,176.0
Mr-mime,144.0
Scyther,85.0
Jynx,138.0
Electabuzz,125.0
Magmar,130.0
Pinsir,141.0
Tauros,63.0
Magikarp,43.0
Gyarados,79.0
Lapras,172.0
Ditto,75.0
Eevee,112.0
Vaporeon,147.0
Jolteon,158.0
Flareon,34.0
Porygon,178.0
Omanyte,162.0
Omastar,61.0
Kabuto,79.0
Kabutops,57.0
Aerodactyl,56.0
Snorlax,134.0
Articuno,77.0
Zapdos,133.0
Moltres,178.0
Dratini,94.0
Dragonair,57.0
Dragonite,69.0
Mewtwo,43.0
Mew,136.0
Chikorita,127.0
Bayleef,44.0
Meganium,163.0
Cyndaquil,154.0
Quilava,85.0
Typhlosion,191.0
Totodile,190.0
Croconaw,175.0
Feraligatr,183.0
Sentret,48.0
Furret,154.0
Hoothoot,48.0
Noctowl,170.0
Ledyba,98.0
Ledian,136.0
Spinarak,199.0
Ariados,85.0
Crobat,195.0
Chinchou,59.0
Lanturn,131.0
Pichu,193.0
Cleffa,107.0
Igglybuff,189.0
Togepi,47.0
Togetic,69.0
Natu,99.0
Xatu,123.0
Mareep,79.0
Flaaffy,163.0
Ampharos,41.0
Bellossom,25.0
